code,term
293472002,Spironolactone adverse reaction (disorder)
238570009,Elastoplast contact dermatitis (disorder)
234171009,Drug-induced hypotension (disorder)
420113004,Adverse reaction to vaccine product containing Influenza virus antigen (disorder)
985331000000105,Apixaban not tolerated (situation)
292858009,Quinine adverse reaction (disorder)
294567003,Allergy to metronidazole (finding)
294631000,"Vaccine, immunoglobulins and antisera allergy (disorder)"
292854006,Chloroquine adverse reaction (disorder)
293582004,Allergy to analgesic (finding)
846321000000102,Dabigatran not tolerated (situation)
292054007,Buprenorphine adverse reaction (disorder)
293539000,Dipyridamole adverse reaction (disorder)
293003004,Cefaclor adverse reaction (disorder)
293170000,Prednisolone adverse reaction (disorder)
985351000000103,Rivaroxaban not tolerated (situation)
7998009,Poisoning caused by bee sting (disorder)
292454003,Nifedipine adverse reaction (disorder)
269721008,"Adverse reaction caused by analgesics, antipyretics and antirheumatics (disorder)"
226199006,Cow's milk protein-free diet (finding)
232348003,Allergy to feather (finding)
292398004,Prochlorperazine adverse reaction (disorder)
89322006,Urticaria medicamentosa (disorder)
293377007,Iodine adverse reaction (disorder)
413175002,Calcium channel blocker not tolerated (situation)
293962009,Allergy to beta adrenergic receptor antagonist (finding)
294594004,Allergy to sulfamethoxazole and trimethoprim (finding)
292452004,Calcium-channel blocker adverse reaction (disorder)
293552005,Isosorbide mononitrate adverse reaction (disorder)
293196003,Gliclazide adverse reaction (disorder)
292930000,Macrolide adverse reaction (disorder)
219075006,Adverse reaction to vaccine product containing bacteria antigen (disorder)
241932006,Wasp sting-induced anaphylaxis (disorder)
170909007,High risk drug side effect (finding)
292673007,Colchicine adverse reaction (disorder)
714332003,Allergy to banana (finding)
267793005,Contact dermatitis caused by oil and grease (disorder)
293417004,Lipid-lowering drug adverse reaction (disorder)
292096006,X-ray contrast media adverse reaction (disorder)
170563001,Chronic disease - drug side effects (finding)
294592000,Allergy to tetracycline (finding)
170926001,Repeat prescription drug side effect (finding)
170681006,Psychiatric drug side effects (finding)
508831000000101,Bisoprolol not tolerated (situation)
294532003,Allergy to cephalosporin (finding)
200821000,Contact dermatitis caused by plants (disorder)
292752003,Penicillamine adverse reaction (disorder)
292045009,Opioid analgesic adverse reaction (disorder)
14651005,Drug-induced osteoporosis (disorder)
293365002,Ferrous sulfate adverse reaction (disorder)
77560002,Contact dermatitis caused by adhesive plaster (disorder)
23171000122102,Allergy to kiwi fruit (finding)
302322006,Egg-free diet (finding)
293050008,Lymecycline adverse reaction (disorder)
89731000000101,History of clopidogrel allergy (situation)
293416008,Drug groups primarily affecting cardiovascular system adverse reaction (disorder)
292360004,Diazepam adverse reaction (disorder)
418949004,Suxamethonium adverse reaction (disorder)
407563006,Treatment not tolerated (situation)
218630003,Adverse reaction caused by mefenamic acid (disorder)
293463005,Frusemide adverse reaction (disorder)
292057000,Dihydrocodeine adverse reaction (disorder)
91939003,Allergy to sulfonamide (finding)
293361006,Ferrous fumarate adverse reaction (disorder)
712840004,Allergy to hazelnut (finding)
170850000,Rheumatology drug side effect (finding)
432989008,Allergic reaction caused by tattoo ink (disorder)
201551000000109,Allergy to adhesive plaster (disorder)
292495000,Salbutamol adverse reaction (disorder)
86062001,Contact dermatitis caused by drugs AND/OR medicine (disorder)
447961002,Allergy to dietary mushroom (finding)
47318007,Drug-induced neutropenia (disorder)
442728009,Non-celiac gluten sensitivity (finding)
294593005,Allergy to chloramphenicol (finding)
609549002,Non-allergic hypersensitivity to angiotensin II receptor antagonist (finding)
292111004,Proton pump inhibitor adverse reaction (disorder)
418434002,Allergy to anesthetic (finding)
292078002,Indomethacin adverse reaction (disorder)
341009,ABO incompatibility reaction (disorder)
203483005,Osteonecrosis caused by drug (disorder)
418779002,Allergy to tomato (finding)
292275009,Antidepressant drug adverse reaction (disorder)
60414003,Acquired lactase deficiency (disorder)
294881007,Allergy to warfarin (finding)
213338000,Injection site erythema (disorder)
361268000,Alcohol-induced epilepsy (disorder)
292428006,Metoprolol adverse reaction (disorder)
292844007,Aciclovir adverse reaction (disorder)
293138000,Carbimazole adverse reaction (disorder)
293426001,Bezafibrate adverse reaction (disorder)
241931004,Bee sting-induced anaphylaxis (disorder)
292382006,Haloperidol adverse reaction (disorder)
292620007,Drug groups and agents primarily acting on skin adverse reaction (disorder)
292927007,Neomycin adverse reaction (disorder)
88924008,Rh incompatibility reaction (disorder)
23012005,Contact dermatitis caused by solvents (disorder)
294091000119104,Headache caused by drug (finding)
292463001,Verapamil adverse reaction (disorder)
293454008,Thiazide diuretic adverse reaction (disorder)
292139003,Lactulose adverse reaction (disorder)
200843008,Allergic contact dermatitis caused by cosmetic (disorder)
200845001,Allergic contact dermatitis caused by dye (disorder)
293047005,Tetracyclines group adverse reaction (disorder)
420094007,Gentamicin adverse reaction (disorder)
10676871000119103,Allergic contact dermatitis caused by chemical (disorder)
293495006,Antihypertensive adverse reaction (disorder)
292284009,Nortriptyline adverse reaction (disorder)
197493001,Malabsorption caused by intolerance to soy protein (disorder)
13511000122108,Allergy to pineapple (finding)
425525006,Allergy to dairy food (finding)
293266004,Thyroxine adverse reaction (disorder)
609537003,Non-allergic hypersensitivity to angiotensin-converting enzyme inhibitor (finding)
292283003,Lofepramine adverse reaction (disorder)
293233003,Combined oral contraceptive adverse reaction (disorder)
419042001,"Anaphylactic shock, caused by adverse effect of correct medicinal substance properly administered (disorder)"
170869005,Gynecological drug side effect (finding)
292937002,Vancomycin adverse reaction (disorder)
441690002,Drug-induced hyperglycemia (disorder)
292121007,Sulfasalazine adverse reaction (disorder)
293517002,Digoxin adverse reaction (disorder)
292853000,Hydroxychloroquine adverse reaction (disorder)
218498003,Adverse reaction caused by antihistamines (disorder)
267798001,Ingestion dermatitis due to drugs (disorder)
200892002,Generalized skin eruption caused by drug and medicament (disorder)
418603006,Minocycline adverse reaction (disorder)
26532007,Contact dermatitis caused by scabicide (disorder)
158058005,Adverse reaction caused by tetanus antitoxin (disorder)
292150000,Mebeverine adverse reaction (disorder)
417906002,Hydrocortisone adverse reaction (disorder)
293396006,Hydroxocobalamin adverse reaction (disorder)
190751001,Primary intolerance to lactose (finding)
213020009,Allergy to egg protein (finding)
292982003,Pivmecillinam adverse reaction (disorder)
292811001,Nystatin adverse reaction (disorder)
218799005,Adverse reaction caused by caffeine (disorder)
170672000,Gastrointestinal tract drug side effect (finding)
292441005,Sotalol adverse reaction (disorder)
269275003,Seafood causing toxic effect (disorder)
41299009,Iatrogenic Cushing's disease (disorder)
230315008,Drug-induced dystonia (disorder)
269723006,Adverse reaction caused by antirheumatic (disorder)
293000001,Cephradine adverse reaction (disorder)
422593004,Acute renal failure caused by angiotensin-converting-enzyme inhibitor (disorder)
218621006,Adverse reaction caused by piroxicam (disorder)
292061006,Pethidine analog adverse reaction (disorder)
292925004,Streptomycin adverse reaction (disorder)
213026003,Malignant hyperpyrexia caused by anesthetic (finding)
292180005,Lignocaine adverse reaction (disorder)
584651000000103,Contact dermatitis due to other chemical products (disorder)
419914000,Anesthetics adverse reaction (disorder)
419219000,Drug-induced nausea and vomiting (disorder)
370540009,Adverse reaction caused by food (disorder)
292584008,Promethazine adverse reaction (disorder)
293116002,Adverse reaction to vaccine product containing Streptococcus pneumoniae antigen (disorder)
293350003,Tranexamic acid adverse reaction (disorder)
169465000,Hypertension caused by oral contraceptive pill (disorder)
292290008,Dothiepin adverse reaction (disorder)
292799005,Anti-infectives adverse reaction (disorder)
802711000000101,Glucose galactose intolerance (disorder)
292515001,Clonidine adverse reaction (disorder)
239845005,Gout caused by drug (disorder)
46240005,Contact dermatitis caused by rubber (disorder)
292162001,General anesthetic drug adverse reaction (disorder)
292327002,Phenytoin adverse reaction (disorder)
443257002,Endocrine drug side effect (finding)
240101000,Drug-induced myopathy (disorder)
218356002,Adverse reaction caused by sulfamethoxazole (disorder)
292248002,Tamoxifen adverse reaction (disorder)
292319006,Sodium valproate adverse reaction (disorder)
282093000,Allergic reaction caused by venom (disorder)
293393003,Folic acid adverse reaction (disorder)
292176000,Local anesthetic drug adverse reaction (disorder)
292587001,Chlorpheniramine adverse reaction (disorder)
293214008,Norethisterone adverse reaction (disorder)
849331000000107,Risedronate sodium not tolerated (situation)
292822002,Miconazole adverse reaction (disorder)
293115003,Adverse reaction to vaccine product containing Bordetella pertussis antigen (disorder)
702881000000101,Adverse reaction to drug NOS (disorder)
190448007,Drug-induced hypoglycemia without coma (disorder)
292442003,Timolol adverse reaction (disorder)
10628591000119103,Irritant contact dermatitis caused by chemical (disorder)
292040004,Analgesic adverse reaction (disorder)
293542006,Glyceryl trinitrate adverse reaction (disorder)
293501008,Captopril adverse reaction (disorder)
288309006,Reaction - mixed vaccine (disorder)
78755001,Contact dermatitis caused by cosmetics (disorder)
31430005,Medication-induced postural tremor (disorder)
295077001,Allergy to dipyridamole (finding)
293354007,Iron adverse reaction (disorder)
293259000,Estrogen and progestogen preparation adverse reaction (disorder)
238992001,Drug-induced erythroderma (disorder)
200893007,Localized skin eruption caused by drug and medicament (disorder)
292996009,Cefadroxil adverse reaction (disorder)
292532002,Hyoscine adverse reaction (disorder)
33211000,Complication of anesthesia (disorder)
200842003,Allergic contact dermatitis caused by adhesive (disorder)
292362007,Temazepam adverse reaction (disorder)
292181009,Cocaine adverse reaction (disorder)
292100007,Drug groups primarily affecting gastrointestinal system adverse reaction (disorder)
170860009,Skin drug side effect (finding)
218791008,Adverse reaction caused by cannabis (disorder)
413427002,Acquired fructose intolerance (disorder)
292126002,Loperamide adverse reaction (disorder)
219088009,Adverse reaction to vaccine product containing Neisseria meningitidis antigen (disorder)
217671006,"Toxic reaction to hornets, wasps and bees (disorder)"
218619001,Adverse reaction caused by ketoprofen (disorder)
413177005,Alpha-adrenoceptor blocker not tolerated (situation)
292512003,Methyldopa adverse reaction (disorder)
54602006,Suxamethonium apnea (finding)
233880002,Chronic myocardial disorder caused by chemical or external agent (disorder)
292393008,Chlorpromazine adverse reaction (disorder)
1654001,Corticosteroid-induced glaucoma (disorder)
190524001,Drug-induced adrenocortical insufficiency (disorder)
293133009,"Hormone, synthetic hormone substitute or hormone antagonist adverse reaction (disorder)"
407674008,Aspirin-induced asthma (disorder)
417135009,Strontium ranelate not tolerated (situation)
293334006,Heparin adverse reaction (disorder)
35001004,Anaphylactoid reaction (disorder)
292821009,Ketoconazole adverse reaction (disorder)
219096004,Adverse reaction to vaccine product containing Measles morbillivirus antigen (disorder)
294468006,Allergy to neomycin (finding)
292938007,Teicoplanin adverse reaction (disorder)
698707001,Adverse reaction caused by coronary vasodilator (disorder)
293075007,Rifampicin adverse reaction (disorder)
238572001,Lanolin contact dermatitis (disorder)
292291007,Imipramine adverse reaction (disorder)
413176001,Thiazide not tolerated (situation)
293453002,Diuretic adverse reaction (disorder)
430400006,Adverse reaction caused by antidiabetic drug (disorder)
266451002,Allergic gastroenteritis and colitis (disorder)
292361000,Lorazepam adverse reaction (disorder)
293122006,Adverse reaction to vaccine product containing Salmonella enterica subspecies enterica serovar Typhi antigen (disorder)
292230006,Mercaptopurine adverse reaction (disorder)
292258003,Drug groups primarily affecting central nervous system adverse reaction (disorder)
417982003,Allergy to cosmetic material (finding)
292288007,Clomipramine adverse reaction (disorder)
294469003,Allergy to gentamicin (finding)
236429004,Acute drug-induced renal failure (disorder)
292615007,Aminophylline adverse reaction (disorder)
292534001,Atropine adverse reaction (disorder)
292324009,Primidone adverse reaction (disorder)
293166008,Dexamethasone adverse reaction (disorder)
421530001,Adverse reaction caused by epinephrine (disorder)
1324661000000105,Adverse reaction to severe acute respiratory syndrome coronavirus 2 vaccine (disorder)
294833000,Allergy to bisphosphonate (finding)
371089000,Serotonin syndrome (disorder)
848251000000103,Ibandronic acid not tolerated (situation)
191322006,Thrombocytopenia caused by drugs (disorder)
200851006,Irritant contact dermatitis caused by cosmetic (disorder)
293146004,Prednisone adverse reaction (disorder)
46298002,Poisoning caused by hornet sting (disorder)
292451006,Nicotine adverse reaction (disorder)
292617004,Theophylline adverse reaction (disorder)
292847000,Antimalarial drug adverse reaction (disorder)
238573006,Perfume contact dermatitis (disorder)
293537003,Hydralazine adverse reaction (disorder)
292593009,Hydroxyzine adverse reaction (disorder)
292447009,Phenoxybenzamine adverse reaction (disorder)
293967003,Allergy to bisoprolol (finding)
292601005,Sodium cromoglycate adverse reaction (disorder)
170697001,Neurological drug side effects (finding)
367141000000103,Leflunomide adverse reaction (disorder)
292519007,Ephedrine adverse reaction (disorder)
426487006,Toxic effect from eating shellfish (disorder)
292405005,Flupenthixol adverse reaction (disorder)
292323003,Phenobarbitone adverse reaction (disorder)
82545002,Blood transfusion reaction (disorder)
293141009,Corticosteroids adverse reaction (disorder)
292435003,Labetalol adverse reaction (disorder)
292329004,Clonazepam adverse reaction (disorder)
6888008,Contact dermatitis caused by dye (disorder)
248891000000103,Non-steroidal anti-inflammatory drug induced gastric ulcer (disorder)
292256004,Cyclosporin adverse reaction (disorder)
292432000,Carvedilol adverse reaction (disorder)
242060008,Adverse reaction caused by antipyretic (disorder)
293592007,Allergy to dextropropoxyphene (finding)
293234009,Androgen adverse reaction (disorder)
292695006,Methocarbamol adverse reaction (disorder)
218724007,Adverse reaction caused by tetracaine (disorder)
302985004,Adverse reaction caused by eye drug (disorder)
10628711000119101,Allergic contact dermatitis caused by plant material (disorder)
395471000000105,[X]Oral contraceptives causing adverse effects in therapeutic use (disorder)
848291000000106,Denosumab not tolerated (situation)
294652008,Allergy to vaccine product containing Streptococcus pneumoniae antigen (finding)
292945007,4-quinolones adverse reaction (disorder)
201436003,Drug-induced systemic lupus erythematosus (disorder)
849431000000100,History of alendronic acid allergy (situation)
292144005,Senna adverse reaction (disorder)
196757008,Drug-induced gastrointestinal disturbance (disorder)
194791005,Hypertension caused by drug (disorder)
1053601000000108,Nebivolol adverse reaction (disorder)
418634005,Allergic reaction caused by substance (disorder)
292165004,Ketamine adverse reaction (disorder)
292056009,Diamorphine adverse reaction (disorder)
292166003,Propofol adverse reaction (disorder)
292343009,Benzodiazepine sedative adverse reaction (disorder)
417721004,Combined calcium and vitamin D3 preparation not tolerated (situation)
293210004,Progesterone adverse reaction (disorder)
292540008,Ipratropium adverse reaction (disorder)
292449007,Prazosin adverse reaction (disorder)
704002008,Raloxifene not tolerated (situation)
657271000000102,Adverse reaction to hormones and synthetic substances NOS (disorder)
293494005,Acetazolamide adverse reaction (disorder)
985231000000104,Rivaroxaban adverse reaction (disorder)
219085007,Adverse reaction to vaccine product containing Corynebacterium diphtheriae antigen (disorder)
293473007,Amiloride adverse reaction (disorder)
85512009,Contact dermatitis caused by jewelry (disorder)
292265006,Dopaminergic drug used in parkinsonism adverse reaction (disorder)
985211000000107,Apixaban adverse reaction (disorder)
849291000000100,Disodium etidronate not tolerated (situation)
293081004,Dapsone adverse reaction (disorder)
218615007,Adverse reaction caused by fenbufen (disorder)
292136005,Bisacodyl adverse reaction (disorder)
293008008,Ceftazidime adverse reaction (disorder)
292917001,Mebendazole adverse reaction (disorder)
200871002,Contact dermatitis caused by fur (disorder)
292808002,Griseofulvin adverse reaction (disorder)
293548005,Isosorbide dinitrate adverse reaction (disorder)
293117006,Adverse reaction to vaccine product containing Human poliovirus antigen (disorder)
200844002,Allergic contact dermatitis caused by drug in contact with skin (disorder)
459431000000105,[X]Antihyperlipidemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use (disorder)
703995008,Teriparatide not tolerated (situation)
32093003,Acute drug-induced tubulointerstitial nephritis (disorder)
417918006,Allergy to pork (finding)
293571007,Streptokinase adverse reaction (disorder)
293362004,Ferrous gluconate adverse reaction (disorder)
292736001,Opioid antagonist adverse reaction (disorder)
196051003,Drug-induced interstitial lung disorder (disorder)
196053000,Chronic drug-induced interstitial lung disorders (disorder)
704280005,Combined calcium and vitamin D3 preparation allergy (disorder)
293037007,Sulfadiazine adverse reaction (disorder)
292800009,Antifungal drug adverse reaction (disorder)
293487007,Chlorthalidone adverse reaction (disorder)
219095000,Adverse reaction to vaccine product containing Yellow fever virus antigen (disorder)
293257003,Conjugated estrogens adverse reaction (disorder)
722200003,Duodenal ulcer caused by non-steroidal anti-inflammatory drug (disorder)
287177000,Sulfonamide/trimethoprim reaction (disorder)
17946007,Contact dermatitis caused by fungicide (disorder)
418328005,Nalidixic acid adverse reaction (disorder)
293140005,Propylthiouracil adverse reaction (disorder)
781381000000100,Migraine induced by oestrogen contraceptive (disorder)
7339009,Polyneuropathy caused by drug (disorder)
674831000000108,Adverse reaction to vaccine or biological substance NOS (disorder)
213325008,Urticaria caused by serum (disorder)
201146008,Drug-induced androgenic alopecia (disorder)
292331008,Sedative adverse reaction (disorder)
293244006,Estradiol adverse reaction (disorder)
293397002,Cyanocobalamin adverse reaction (disorder)
83627000,Phototoxic drug eruption (disorder)
219051006,Adverse reaction to local astringents and local detergents (navigational concept)
293119009,Adverse reaction to vaccine product containing Rubella virus antigen (disorder)
293424003,Cholestyramine adverse reaction (disorder)
419989001,Propionic acid derivative adverse reaction (disorder)
59400006,Analgesic nephropathy (disorder)
200071001,Obstetric spinal and epidural anesthesia-induced headache (disorder)
292348000,Nitrazepam adverse reaction (disorder)
293346005,Phenindione adverse reaction (disorder)
292386009,Phenothiazine adverse reaction (disorder)
416412008,Glitazones not tolerated (situation)
666391000000104,Adverse reaction to unspecified oral contraceptive (disorder)
200877003,Contact dermatitis caused by preservatives (disorder)
49237006,Allergic diarrhea (disorder)
293007003,Cefotaxime adverse reaction (disorder)
203447001,Pathological fracture co-occurrent and due to drug-induced osteoporosis (disorder)
293144001,Topical hydrocortisone adverse reaction (disorder)
218929005,Adverse reaction caused by sodium bicarbonate (disorder)
292314001,Antiepileptic adverse reaction (disorder)
627401000000108,Adverse effects NOS (disorder)
190753003,Sucrose intolerance (disorder)
42733007,Contact dermatitis caused by dichromate (disorder)
293174009,Triamcinolone adverse reaction (disorder)
293462000,Loop diuretic adverse reaction (disorder)
80346008,Photoallergic drug eruption (disorder)
218572006,Adverse reaction caused by anticoagulant antagonists (disorder)
985251000000106,Rivaroxaban allergy (disorder)
292106001,H2 receptor antagonist adverse reaction (disorder)
292977005,Piperacillin adverse reaction (disorder)
293387006,Vitamin D adverse reaction (disorder)
170878004,Urinary drug side effect (finding)
292971006,Pivampicillin adverse reaction (disorder)
293142002,Betamethasone adverse reaction (disorder)
415668000,Sulfonylurea not tolerated (situation)
293238007,Testosterone adverse reaction (disorder)
83150005,Contact dermatitis caused by iodine (disorder)
293206002,Sex hormones adverse reaction (disorder)
430398007,Adverse reaction caused by barbiturate (disorder)
275390005,Toxic effect of plant (disorder)
395215005,Adverse reaction caused by bupropion (disorder)
677311000000100,Adverse reaction to erythromycin and other macrolides (disorder)
292172003,Halothane adverse reaction (disorder)
292555004,Acetylcysteine adverse reaction (disorder)
413438002,Acute hepatic failure due to drugs (disorder)
293343002,Nicoumalone adverse reaction (disorder)
985271000000102,Apixaban allergy (disorder)
293484000,Mercurial diuretic adverse reaction (disorder)
292421000,Acebutolol adverse reaction (disorder)
292237009,Carboplatin adverse reaction (disorder)
292269000,Amantadine adverse reaction (disorder)
292935005,Sodium fusidate adverse reaction (disorder)
293039005,Sulfadimidine adverse reaction (disorder)
1324711000000102,Allergy to severe acute respiratory syndrome coronavirus 2 vaccine (finding)
292443008,Alpha-adrenoceptor blocking drug adverse reaction (disorder)
293120003,Adverse reaction to vaccine product containing Vaccinia virus antigen (disorder)
293169001,Methylprednisolone adverse reaction (disorder)
292856008,Proguanil adverse reaction (disorder)
702861000000105,Adverse reaction to other vaccines and biological substances (disorder)
292052006,Methadone adverse reaction (disorder)
73397007,Heparin-induced thrombocytopenia (disorder)
200823002,Contact dermatitis caused by poison ivy (disorder)
292395001,Promazine adverse reaction (disorder)
293269006,Desmopressin adverse reaction (disorder)
238571008,Egg contact dermatitis (disorder)
67445002,Contact dermatitis caused by food in contact with skin (disorder)
508861000000106,Carvedilol not tolerated (situation)
292929005,Tobramycin adverse reaction (disorder)
16217003,Shock due to anesthesia (disorder)
170787001,Thyroid drug side effects (finding)
293118001,Adverse reaction to vaccine product containing Rabies lyssavirus antigen (disorder)
292076003,Flurbiprofen adverse reaction (disorder)
417895009,Topical agent adverse reaction (disorder)
674811000000100,Adverse reaction to drug primarily affecting the cardiovascular system NOS (disorder)
705097000,Allergy to serum (finding)
293458006,Hydrochlorothiazide adverse reaction (disorder)
200852004,Irritant contact dermatitis caused by drug in contact with skin (disorder)
508891000000100,Nebivolol not tolerated (situation)
293256007,Estriol adverse reaction (disorder)
418925002,Immune hypersensitivity reaction (disorder)
292809005,Amphotericin adverse reaction (disorder)
292163006,Intravenous anesthetics adverse reaction (disorder)
293413000,Zinc adverse reaction (disorder)
292220002,Mitomycin adverse reaction (disorder)
218704008,Adverse reaction caused by nitrous oxide (disorder)
292466009,Pilocarpine adverse reaction (disorder)
293304001,Hematological agents adverse reaction (disorder)
190965006,Drug-induced obesity (disorder)
292848005,Pyrimethamine adverse reaction (disorder)
293217001,Medroxyprogesterone adverse reaction (disorder)
200847009,Allergic contact dermatitis caused by food in contact with skin (disorder)
292396000,Thioridazine adverse reaction (disorder)
292352000,Chlordiazepoxide adverse reaction (disorder)
